DATE,VALUE
2019-10-01,-0.5489999999999999
2019-10-02,-0.551
2019-10-03,-0.555
2019-10-04,-0.5529999999999999
2019-10-07,-0.5539999999999999
2019-10-08,-0.552
2019-10-09,-0.552
2019-10-10,-0.552
2019-10-11,-0.55
2019-10-14,-0.5489999999999999
2019-10-15,-0.551
2019-10-16,-0.5479999999999999
2019-10-17,-0.5479999999999999
2019-10-18,-0.547
2019-10-21,-0.5489999999999999
2019-10-22,-0.5479999999999999
2019-10-23,-0.547
2019-10-24,-0.5479999999999999
2019-10-25,-0.5479999999999999
2019-10-28,-0.5479999999999999
2019-10-29,-0.545
2019-10-30,-0.545
2019-10-31,-0.5429999999999999
2019-11-01,-0.5489999999999999
2019-11-04,-0.536
2019-11-05,-0.541
2019-11-06,-0.539
2019-11-07,-0.537
2019-11-08,-0.54
2019-11-11,-0.541
2019-11-12,-0.537
2019-11-13,-0.531
2019-11-14,-0.536
2019-11-15,-0.541
2019-11-18,-0.541
2019-11-19,-0.542
2019-11-20,-0.511
2019-11-21,-0.542
2019-11-22,-0.536
2019-11-25,-0.5329999999999999
2019-11-26,-0.5329999999999999
2019-11-27,-0.5329999999999999
2019-11-28,-0.531
2019-11-29,-0.532
2019-12-02,-0.541
2019-12-03,-0.539
2019-12-04,-0.54
2019-12-05,-0.54
2019-12-06,-0.541
2019-12-09,-0.541
2019-12-10,-0.544
2019-12-11,-0.544
2019-12-12,-0.544
2019-12-13,-0.5429999999999999
2019-12-16,-0.5429999999999999
2019-12-17,-0.536
2019-12-18,-0.54
2019-12-19,-0.54
2019-12-20,-0.54
2019-12-23,-0.545
2019-12-24,-0.5489999999999999
2019-12-27,-0.542
2019-12-30,-0.541
2019-12-31,-0.531
2020-01-02,-0.539
2020-01-03,-0.537
2020-01-06,-0.539
2020-01-07,-0.54
2020-01-08,-0.536
2020-01-09,-0.539
2020-01-10,-0.5379999999999999
2020-01-13,-0.537
2020-01-14,-0.5379999999999999
2020-01-15,-0.5379999999999999
2020-01-16,-0.536
2020-01-17,-0.537
2020-01-20,-0.5379999999999999
2020-01-21,-0.535
2020-01-22,-0.536
2020-01-23,-0.537
2020-01-24,-0.537
2020-01-27,-0.5379999999999999
2020-01-28,-0.536
2020-01-29,-0.54
2020-01-30,-0.539
2020-01-31,-0.539
2020-02-03,-0.537
2020-02-04,-0.536
2020-02-05,-0.536
2020-02-06,-0.535
2020-02-07,-0.537
2020-02-10,-0.537
2020-02-11,-0.541
2020-02-12,-0.541
2020-02-13,-0.54
2020-02-14,-0.5379999999999999
2020-02-17,-0.541
2020-02-18,-0.536
2020-02-19,-0.5379999999999999
2020-02-20,-0.5379999999999999
2020-02-21,-0.539
2020-02-24,-0.54
2020-02-25,-0.539
2020-02-26,-0.539
2020-02-27,-0.5379999999999999
2020-02-28,-0.54
2020-03-02,-0.542
2020-03-03,-0.542
2020-03-04,-0.541
2020-03-05,-0.54
2020-03-06,-0.541
2020-03-09,-0.539
2020-03-10,-0.541
2020-03-11,-0.5429999999999999
2020-03-12,-0.54
2020-03-13,-0.541
2020-03-16,-0.536
2020-03-17,-0.531
2020-03-18,-0.529
2020-03-19,-0.526
2020-03-20,-0.524
2020-03-23,-0.525
2020-03-24,-0.527
2020-03-25,-0.527
2020-03-26,-0.529
2020-03-27,-0.53
2020-03-30,-0.528
2020-03-31,-0.522
2020-04-01,-0.527
2020-04-02,-0.534
2020-04-03,-0.539
