"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2023","99.65","99.74","99.74","99.63","10.32K","0.00%"
"07/27/2023","99.65","99.63","99.67","99.60","25.21K","0.06%"
"07/26/2023","99.59","99.60","99.63","99.59","10.59K","0.00%"
"07/25/2023","99.59","99.65","99.65","99.58","17.51K","-0.01%"
"07/24/2023","99.60","99.59","99.70","99.57","7.22K","0.00%"
"07/21/2023","99.60","99.58","99.60","99.56","4.62K","0.04%"
"07/20/2023","99.56","99.55","99.58","99.53","9.55K","0.02%"
"07/19/2023","99.54","99.55","99.56","99.53","4.40K","0.00%"
"07/18/2023","99.54","99.51","99.60","99.51","12.47K","0.00%"
"07/17/2023","99.54","99.58","99.58","99.51","11.89K","0.01%"
"07/14/2023","99.53","99.53","99.55","99.50","16.74K","0.07%"
"07/13/2023","99.46","99.59","99.59","99.46","18.49K","-0.04%"
"07/12/2023","99.50","99.48","99.50","99.45","19.69K","0.00%"
"07/11/2023","99.50","99.48","99.50","99.45","16.54K","0.02%"
"07/10/2023","99.48","99.47","99.48","99.45","7.91K","0.03%"
"07/07/2023","99.45","99.45","99.47","99.43","4.54K","-0.01%"
"07/06/2023","99.46","99.43","99.47","99.41","42.57K","0.05%"
"07/05/2023","99.41","99.43","99.43","99.40","4.37K","0.01%"
"07/04/2023","99.40","99.46","99.70","99.39","34.82K","-0.06%"
"07/03/2023","99.46","99.51","99.51","99.39","5.27K","0.05%"
"06/30/2023","99.41","99.34","99.41","99.34","4.91K","0.04%"
"06/29/2023","99.37","99.39","99.39","99.30","12.42K","0.01%"
"06/28/2023","99.36","99.40","99.40","99.34","6.58K","0.02%"
"06/27/2023","99.34","99.32","99.39","99.32","10.22K","-0.02%"
"06/26/2023","99.36","99.40","99.40","99.33","11.83K","-0.04%"
"06/23/2023","99.40","99.39","99.45","99.35","10.32K","0.10%"
"06/22/2023","99.30","99.33","99.39","99.28","29.23K","0.02%"
"06/21/2023","99.28","99.39","99.39","99.26","22.21K","0.03%"
"06/20/2023","99.25","99.39","99.39","99.25","10.36K","-0.04%"
"06/19/2023","99.29","99.32","99.33","99.26","17.28K","0.04%"
"06/16/2023","99.25","99.25","99.29","99.24","11.36K","0.04%"
"06/15/2023","99.21","99.22","99.26","99.20","11.43K","0.00%"
"06/14/2023","99.21","99.22","99.24","99.20","12.67K","0.01%"
"06/13/2023","99.20","99.21","99.24","99.20","17.38K","0.00%"
"06/12/2023","99.20","99.22","99.22","99.20","7.80K","0.00%"
"06/09/2023","99.20","99.18","99.23","99.18","6.44K","0.02%"
"06/08/2023","99.18","99.23","99.23","99.15","9.14K","0.02%"
"06/07/2023","99.16","99.17","99.18","99.14","12.52K","0.00%"
"06/06/2023","99.16","99.15","99.21","99.14","6.81K","0.02%"
"06/05/2023","99.14","99.20","99.20","99.14","3.58K","-0.01%"
"06/02/2023","99.15","99.19","99.19","99.11","9.44K","0.00%"
"06/01/2023","99.15","99.11","99.20","99.11","2.54K","0.06%"
"05/31/2023","99.09","99.09","99.11","99.08","7.23K","-0.01%"
"05/30/2023","99.10","99.10","99.24","99.07","7.50K","0.02%"
"05/29/2023","99.08","99.10","99.10","99.07","1.62K","0.00%"
"05/26/2023","99.08","99.08","99.10","99.05","5.48K","0.00%"
"05/25/2023","99.08","99.06","99.07","99.03","3.88K","0.04%"
"05/24/2023","99.04","99.08","99.08","99.04","10.72K","0.00%"
"05/23/2023","99.04","99.04","99.07","99.01","6.75K","0.01%"
"05/22/2023","99.03","99.03","99.09","99.01","16.50K","-0.03%"
"05/19/2023","99.06","99.01","99.08","99.00","10.66K","0.05%"
"05/18/2023","99.01","99.01","99.01","99.01","4.19K","0.02%"
"05/17/2023","98.99","99.00","99.02","98.98","3.46K","-0.02%"
"05/16/2023","99.01","98.96","99.05","98.95","8.82K","0.03%"
"05/15/2023","98.98","98.99","99.00","98.95","5.95K","0.01%"
"05/12/2023","98.97","98.97","98.97","98.94","9.41K","0.04%"
"05/11/2023","98.93","98.96","99.00","98.92","6.00K","0.01%"
"05/10/2023","98.92","98.93","98.96","98.91","9.41K","-0.02%"
"05/09/2023","98.94","98.92","98.95","98.91","7.90K","0.01%"
"05/08/2023","98.93","98.92","98.93","98.89","12.11K","0.02%"
"05/05/2023","98.91","98.89","98.91","98.88","1.41K","0.04%"
"05/04/2023","98.87","98.87","98.90","98.86","5.56K","0.02%"
"05/03/2023","98.85","98.88","98.92","98.85","8.03K","0.00%"
"05/02/2023","98.85","98.88","98.96","98.85","11.38K","0.00%"
"04/28/2023","98.85","98.84","98.86","98.84","5.08K","0.01%"
"04/27/2023","98.84","98.83","98.87","98.78","14.79K","-0.01%"
"04/26/2023","98.85","98.82","98.85","98.80","6.47K","0.04%"
"04/25/2023","98.81","98.81","98.82","98.80","4.60K","0.00%"
"04/24/2023","98.81","98.81","98.81","98.79","5.51K","0.01%"
"04/21/2023","98.80","98.77","98.81","98.77","10.83K","0.03%"
"04/20/2023","98.77","98.77","98.81","98.74","3.86K","0.00%"
"04/19/2023","98.77","98.74","98.77","98.74","8.10K","0.01%"
"04/18/2023","98.76","98.76","98.78","98.75","9.32K","0.00%"
"04/17/2023","98.76","98.75","98.77","98.72","3.01K","0.02%"
"04/14/2023","98.74","98.72","98.75","98.71","7.99K","0.02%"
"04/13/2023","98.72","98.72","98.72","98.70","4.38K","0.00%"
"04/12/2023","98.72","98.71","98.72","98.65","10.94K","0.02%"
"04/11/2023","98.70","98.75","98.80","98.69","8.52K","0.00%"
"04/06/2023","98.70","98.71","98.71","98.66","12.15K","0.03%"
"04/05/2023","98.67","98.67","98.67","98.65","8.44K","0.05%"
"04/04/2023","98.62","98.63","98.66","98.62","11.01K","-0.03%"
"04/03/2023","98.65","98.62","98.65","98.61","18.14K","0.02%"
"03/31/2023","98.63","98.64","98.64","98.61","5.87K","0.01%"
"03/30/2023","98.62","98.62","98.62","98.58","19.09K","0.04%"
"03/29/2023","98.58","98.59","98.61","98.58","19.67K","-0.03%"
"03/28/2023","98.61","98.59","98.61","98.57","5.16K","0.03%"
"03/27/2023","98.58","98.59","98.61","98.58","15.01K","0.00%"
"03/24/2023","98.58","98.55","98.59","98.54","19.79K","0.01%"
"03/23/2023","98.57","98.57","98.57","98.54","1.52K","0.01%"
